值,值含义,说明
1,预防保健科,
2,全科医疗科,
3,内科,
301,呼吸内科专业,
302,消化内科专业,
303,神经内科专业,
304,心血管内科专业,
305,血液内科专业,
306,肾病学专业,
307,内分泌专业,
308,免疫学专业,
309,变态反应专业,
310,老年病专业,
311,其他,
4,外科,
401,普通外科专业,
40101,肝脏移植项目,
40102,胰腺移植项目,
40103,小肠移植项目,
402,神经外科专业,
403,骨科专业,
404,泌尿外科专业,
40401,肾脏移植项目,
405,胸外科专业,
40501,肺脏移植项目,
406,心脏大血管外科专业,
40601,心脏移植项目,
407,烧伤科专业,
408,整形外科专业,
409,其他,
5,妇产科,
501,妇科专业,
502,产科专业,
503,计划生育专业,
504,优生学专业,
505,生殖健康与不孕症专业,
506,其他,
6,妇女保健科,
601,青春期保健专业,
602,围产期保健专业,
603,更年期保健专业,
604,妇女心理卫生专业,
605,妇女营养专业,
606,其他,
7,儿科,
701,新生儿专业,
702,小儿传染病专业,
703,小儿消化专业,
704,小儿呼吸专业,
705,小儿心脏病专业,
706,小儿肾病专业,
707,小儿血液病专业,
708,小儿神经病学专业,
709,小儿内分泌专业,
710,小儿遗传病专业,
711,小儿免疫专业,
712,其他,
8,小儿外科,
801,小儿普通外科专业,
802,小儿骨科专业,
803,小儿泌尿外科专业,
804,小儿胸心外科专业,
805,小儿神经外科专业,
806,其他,
9,儿童保健科,
901,儿童生长发育专业,
902,儿童营养专业,
903,儿童心理卫生专业,
904,儿童五官保健专业,
905,儿童康复专业,
906,其他,
10,眼科,
11,耳鼻咽喉科,
1101,耳科专业,
1102,鼻科专业,
1103,咽喉科专业,
1104,其他,
12,口腔科,
1201,口腔内科专业,
1202,口腔颌面外科专业,
1203,正畸专业,
1204,口腔修复专业,
1205,口腔预防保健专业,
1206,其他,
13,皮肤科,
1301,皮肤病专业,
1302,性传播疾病专业,
1303,其他,
14,医疗美容科,
15,精神科,
1501,精神病专业,
1502,精神卫生专业,
1503,药物依赖专业,
1504,精神康复专业,
1505,社区防治专业,
1506,临床心理专业,
1507,司法精神专业,
1508,其他,
16,传染科,
1601,肠道传染病专业,
1602,呼吸道传染病专业,
1603,肝炎专业,
1604,虫媒传染病专业,
1605,动物源性传染病专业,
1606,蠕虫病专业,
1607,其它,
17,结核病科,
18,地方病科,
19,肿瘤科,
20,急诊医学科,
21,康复医学科,
22,运动医学科,
23,职业病科,
2301,职业中毒专业,
2302,尘肺专业,
2303,放射病专业,
2304,物理因素损伤专业,
2305,职业健康监护专业,
2306,其他,
24,临终关怀科,
25,特种医学与军事医学科,
26,麻醉科,
27,疼痛科,
28,重症医学科,
30,医学检验科,
3001,临床体液、血液专业,
3002,临床微生物学专业,
3003,临床生化检验专业,
3004,临床免疫、血清学专业,
3005,临床细胞分子遗传学专业,
3006,其他,
31,病理科,
32,医学影像科,
3201,X线诊断专业,
3202,CT诊断专业,
3203,磁共振成像诊断专业,
3204,核医学专业,
3205,超声诊断专业,
3206,心电诊断专业,
3207,脑电及脑血流图诊断专业,
3208,神经肌肉电图专业,
3209,介入放射学专业,
3210,放射治疗专业,
3211,其他,
50,中医科,
5001,内科专业,
5002,外科专业,
5003,妇产科专业,
5004,儿科专业,
5005,皮肤科专业,
5006,眼科专业,
5007,耳鼻咽喉科专业,
5008,口腔科专业,
5009,肿瘤科专业,
5010,骨伤科专业,
5011,肛肠科专业,
5012,老年病科专业,
5013,针灸科专业,
5014,推拿科专业,
5015,康复医学专业,
5016,急诊科专业,
5017,预防保健科专业,
5018,其他,
51,民族医学科,
5101,维吾尔医学,
5102,藏医学,
5103,蒙医学,
5104,彝医学,
5105,傣医学,
5106,其他,
52,中西医结合科,
69,其他业务科室,
